 ⌚  watch                                                          
 ⏩  fast-forward button                                            
 ⏰  alarm clock                                                    
 ⏳  hourglass not done                                             
 ◽  white medium-small square                                      
 ☔  umbrella with rain drops                                       
 ♈  Aries                                                          
 ♿  wheelchair symbol                                              
 ⚓  anchor                                                         
 ⚡  high voltage                                                   
 ⚪  white circle                                                   
 ⚽  soccer ball                                                    
 ⛄  snowman without snow                                           
 ⛎  Ophiuchus                                                      
 ⛔  no entry                                                       
 ⛪  church                                                         
 ⛲  fountain                                                       
 ⛵  sailboat                                                       
 ⛺  tent                                                           
 ⛽  fuel pump                                                      
 ✅  check mark button                                              
 ✊  raised fist                                                    
 ✨  sparkles                                                       
 ❌  cross mark                                                     
 ❎  cross mark button                                              
 ❓  question mark                                                  
 ❗  exclamation mark                                               
 ➕  plus                                                           
 ➰  curly loop                                                     
 ➿  double curly loop                                              
 ⬛  black large square                                             
 ⭐  star                                                           
 ⭕  hollow red circle                                              
 🀄  mahjong red dragon                                             
 🃏  joker                                                          
 🆎  AB button (blood type                                          
 🆑  CL button                                                      
 🈁  Japanese “here” button                                         
 🈚  Japanese “free of charge” button                               
 🈯  Japanese “reserved” button                                     
 🈲  Japanese “prohibited” button                                   
 🈸  Japanese “application” button                                  
 🉐  Japanese “bargain” button                                      
 🌀  cyclone                                                        
 🌍  globe showing Europe-Africa                                    
 🌏  globe showing Asia-Australia                                   
 🌐  globe with meridians                                           
 🌑  new moon                                                       
 🌒  waxing crescent moon                                           
 🌓  first quarter moon                                             
 🌖  waning gibbous moon                                            
 🌙  crescent moon                                                  
 🌚  new moon face                                                  
 🌛  first quarter moon face                                        
 🌜  last quarter moon face                                         
 🌝  full moon face                                                 
 🌟  glowing star                                                   
 🌭  hot dog                                                        
 🌰  chestnut                                                       
 🌲  evergreen tree                                                 
 🌴  palm tree                                                      
 🌷  tulip                                                          
 🍋  lemon                                                          
 🍌  banana                                                         
 🍐  pear                                                           
 🍑  peach                                                          
 🍼  baby bottle                                                    
 🍾  bottle with popping cork                                       
 🎀  ribbon                                                         
 🎠  carousel horse                                                 
 🏅  sports medal                                                   
 🏆  trophy                                                         
 🏇  horse racing                                                   
 🏈  american football                                              
 🏉  rugby football                                                 
 🏊  person swimming                                                
 🏏  cricket game                                                   
 🏠  house                                                          
 🏤  post office                                                    
 🏥  hospital                                                       
 🏴  black flag                                                     
 🏸  badminton                                                      
 🐈  cat                                                            
 🐉  dragon                                                         
 🐌  snail                                                          
 🐏  ram                                                            
 🐑  ewe                                                            
 🐓  rooster                                                        
 🐔  chicken                                                        
 🐕  dog                                                            
 🐖  pig                                                            
 🐗  boar                                                           
 🐪  camel                                                          
 🐫  two-hump camel                                                 
 👀  eyes                                                           
 👂  ear                                                            
 👥  busts in silhouette                                            
 👦  boy                                                            
 👬  men holding hands                                              
 👮  police officer                                                 
 💭  thought balloon                                                
 💮  white flower                                                   
 💶  euro banknote                                                  
 💸  money with wings                                               
 📬  open mailbox with raised flag                                  
 📮  postbox                                                        
 📯  postal horn                                                    
 📰  newspaper                                                      
 📵  no mobile phones                                               
 📶  antenna bars                                                   
 📸  camera with flash                                              
 📹  video camera                                                   
 📿  prayer beads                                                   
 🔃  clockwise vertical arrows                                      
 🔄  counterclockwise arrows button                                 
 🔈  speaker low volume                                             
 🔉  speaker medium volume                                          
 🔊  speaker high volume                                            
 🔕  bell with slash                                                
 🔖  bookmark                                                       
 🔬  microscope                                                     
 🔮  crystal ball                                                   
 🕋  kaaba                                                          
 🕐  one o’clock                                                    
 🕜  one-thirty                                                     
 🕺  man dancing                                                    
 🖕  middle finger                                                  
 🖤  black heart                                                    
 🗻  mount fuji                                                     
 😀  grinning face                                                  
 😁  beaming face with smiling eyes                                 
 😇  smiling face with halo                                         
 😉  winking face                                                   
 😎  smiling face with sunglasses                                   
 😏  smirking face                                                  
 😐  neutral face                                                   
 😑  expressionless face                                            
 😒  unamused face                                                  
